Слово,Орфоэпическая транскрипция,Слово с ударением
вещь,* v' e0 sc,ве0щь
взад-,~ v * z a0 t -,вза0д-
взаимную,~ v ~ z a1 * i0 m + n / u4 j u4,взаи0мную
взбодриться,~ v z * b a1 d r' + i0 ^ c a4,взбодри0ться
взбудоражены,~ v z * b u1 d a1 r a0 zh + y4 n / y4,взбудора0жены
взвалил,~ v z * v a1 l' + i0 + l,взвали0л
взвалить,~ v z * v a1 l' + i0 / t',взвали0ть
взвинчен,~ v z * v' i0 n' ch + i4 n,взви0нчен
взгляд,~ - z * g l' a0 t,взгля0д
взглядами,~ v z * g l' a0 d / a4 m' i4,взгля0дами
взглядом,~ v z * g l' a0 d / a4 m,взгля0дом
взглянул,~ v z * g l' i1 + n u0 + l,взгляну0л
взгорке,~ v z * g o0 r k' / i4,взго0рке
взгорьям,~ v z * g o0 r' + j / i4 m,взго0рьям
вздор,~ v z * d o0 r,вздо0р
вздорность,~ v z * d o0 r + n + a4 s' t',вздо0рность
вздрогнул,~ v z * d r o0 g + n u4 + l,вздро0гнул
вздулась,~ v z * d u0 + l / a4 ^ s',взду0лась
вздумай,~ v z * d u0 m + a4 + j,взду0май
взмахнул,~ v z * m a1 h + n u0 + l,взмахну0л
взморье,~ v z * m o0 r' + j / e4,взмо0рье
взрослого,~ v z * r o0 s + l / a4 v a4,взро0слого
взрослые,~ v z * r o0 s + l / y4 - i4,взро0слые
взрослый,~ - z * r o0 s + l / y4 -,взро0слый
взрослым,~ v z * r o0 s + l / y4 m,взро0слым
взрослыми,~ v z * r o0 s + l / y4 m' i4,взро0слыми
взрослых,~ v z * r o0 s + l / y4 h,взро0слых
взысканий,~ v z * y1 s k + a0 + n' i4 j,взыска0ний
взял,~ v z' * a0 + l,взя0л
взяли,~ v z' * a0 + l' / i4,взя0ли
взять,~ v z' * a0 / t',взя0ть
вид,* v' i0 ch,ви0д
вида,* v' i0 d / a4,ви0да
виде,* v' i0 d' / i4,ви0де
видел,* v' i0 d' + i4 + l,ви0дел
видели,* v' i0 d' + i4 + l' / i4,ви0дели
виделись,* v' i0 d' + i4 + l' / i4 ^ s',ви0делись
видеть,* v' i0 d' + i4 / t',ви0деть
видит,* v' i0 d' / i4 d,ви0дит
видите,* v' i0 d' + i4 + t' i4,ви0дите
видишь,* v i0 d' / i4 sh,ви0дишь
видно,* v' i0 d + n + a4,ви0дно
видом,* v' i0 d / a4 m,ви0дом
виду,* v' i0 d / u4,ви0ду
вижу,* v' i0 zh / u4,ви0жу
викентьевича,* v' i1 k' e0 n' t' + j i4 - + - ch / a4,вике0нтьевича
виктор,* v' i0 k t a4 r,ви0ктор
виктора,* v' i0 k t a4 r / a4,ви0ктора
виктором,* v' i0 k t a4 r / a4 m,ви0ктором
виноват,* v' i1 n + a1 v + a0 t,винова0т
виновата,* v' i1 n + a1 v + a0 t / a4,винова0та
виноваты,* v' i1 n + a1 v a0 t / y4,винова0ты
вином,* v' i1 n / o0 m,вино0м
висела,* v' i1 s' + e0 + l / a4,висе0ла
висело,* v' i1 s' + e0 + l / a4,висе0ло
висит,* v' i1 s' / i0 t,виси0т
виски,* v' i0 s k' / i4,ви0ски
витамин,* v' i1 t a1 m' i0 n,витами0н
вити,* v' i0 t' / i4,ви0ти
вить,* v' i0 / t',ви0ть
витька,* v' i0 t' + k / a4,ви0тька
витя,* v' i0 t' / a4,ви0тя
включал,~ f * k l' u1 ch + a0 + l,включа0л
включив,~ f * k l' u1 ch + i0 + v,включи0в
включил,~ f * k l' u1 ch + i0 + l,включи0л
вкупе,~ f * k u0 p' + i4,вку0пе
вкус,~ f * k u0 s,вку0с
вкуснее,* f k u1 s' + n' + e0 j i4,вкусне0е
владелец,* v l a1 d' + e0 + - - -,владе0лец
владельцы,* - l a1 d' + e0 + l' c / y4,владе0льцы
владение,* v l a1 d' + e0 + n' i4 j / i4,владе0ние
влажным,* v l a0 zh + n / y4 m,вла0жным
властопуло,* v l a1 s t o0 p u4 l a4,власто0пуло
влюбились,~ v * l' u1 b' + i0 + l' / i4 ^ s',влюби0лись
влюбился,~ v * l' u1 b' + i0 + l ^ s' a4,влюби0лся
влюблен,~ v * l' u1 b + l' + o0 n,влюбле0н
влюблялся,~ v * l' u1 b + l' + a0 + l ^ s' a4,влюбля0лся
влюбляться,~ v * l' u1 b + l' + a0 ^ c a4,влюбля0ться
влюбляюсь,~ v * l' u1 b + l' + a0 / j u4 ^ s',влюбля0юсь
вместе,~ v * m' e0 s t' + i4,вме0сте
вместо,~ m' * e0 s t a4 + d,вме0сто
вмешиваться,~ v * m' e0 sh + y4 v a4 ^ c a4,вме0шиваться
внезапная,* v n' i1 z a0 p n / a4 j a4,внеза0пная
внезапно,* v n' i1 z a0 p n + a4,внеза0пно
внезапное,* v n' i1 z a0 p n / a4 - i4,внеза0пное
внезапной,* v n' i1 z a0 p n / a4 j,внеза0пной
внезапным,* v n' i1 z a0 p n / y4 m,внеза0пным
внешне,* v n' e0 sh n' + i4,вне0шне
внешним,* v n' e0 sh n' / i4 m,вне0шним
внешняя,* v n' e0 sh n' / i4 j a4,вне0шняя
внешторге,* v n' + e1 + sh * t o0 r g' / i4,внешто0рге
вниз,~ v * n' i0 s,вни0з
внимание,~ v * n' i1 m + a0 + n' i4 - / i4,внима0ние
внимания,~ v * n' i1 m + a0 + n' a4 j / a4,внима0ния
внимательно,~ v * n' i1 m + a0 + t' i4 l' + n + a4,внима0тельно
вновь,~ v * n o0 v',вно0вь
внук,* j v n u0,вну0к
внука,* v n u0 k / a4,вну0ка
внуком,* v n u0 k / a4 m,вну0ком
внутренней,~ v * n u0 t r' + i4 n' / i4 j,вну0тренней
внутривенного,~ v * n u1 t r' + i1 * v' e0 n + - / a4 v a4,внутриве0нного
внутрь,~ v * n u0 t r',вну0трь
внушая,~ v ~ n * u1 sh + a0 + - i4,внуша0я
внушить,~ v ~ n * u1 sh + y0 / t',внуши0ть
внятно,~ v * n' a0 + t + n + a4,вня0тно
во-вторых,~ v a1 * f t a1 r + y0 h,во-вторы0х
во-первых,~ v a1 * p' e0 r v + y4 h,во-пе0рвых
вовремя,~ v o0 * v r' i4 m' / a4,во0время
вовсе,~ v o0 * f s' / i4,во0все
водила,* v a1 d' + i0 + l / a4,води0ла
водит,* v o0 d' / i4 t,во0дит
водителем,* v a1 d' + i0 + t' i4 l' / i4 m,води0телем
водитель,* v a1 d' + i0 + t' i4 l',води0тель
водить,* v a1 d' + i0 / t',води0ть
водой,* v a1 d / o0 j,водо0й
водопроводной,* v a2 d = a2 ~ p r a1 * v o0 d + n / a4 j,водопрово0дной
водопроводный,* v a2 d = a2 ~ p r a1 * v o0 d + n / y4 j,водопрово0дный
воду,* v o0 d / u4,во0ду
воды,* v a1 d / y0,воды0
водяные,* v a2 d' + i1 n / y0 j i4,водяны0е
возвращалась,~ v a2 z * v r a1 sc + a0 + l / a4 ^ z',возвраща0лась
возвращался,~ v a2 z * v r a1 sc + a0 + l ^ s' a4,возвраща0лся
возвращение,~ v a2 z * v r a1 sc + e0 n' i4 j / i4,возвраще0ние
возвращения,~ v a2 z * v r a1 sc + e0 n' i4 j / a4,возвраще0ния
возвышавшимся,~ v a2 z * v y1 sh + a0 + f sh / y4 m ^ s' a4,возвыша0вшимся
возвышалась,~ v a2 z * v y1 sh + a0 + l / a4 ^ s',возвыша0лась
воздух,~ j v o0 * z d u4,во0здух
воздухе,~ v o0 z * d u4 h' / i4,во0здухе
воздухом,~ v o0 z * d u4 h / a4 m,во0здухом
воздуху,~ v o0 z * d u4 h / u4,во0здуху
возле,* v o0 z l' i4,во0зле
возможно,~ v a1 z * m o0 zh + n + a4,возмо0жно
возможность,~ v a1 z * m o0 zh + n + a4 s' t,возмо0жность
возмущаться,~ v a2 z * m u1 sc + a0 ^ c a4,возмуща0ться
возней,* v a1 z' + n' / o0 j,возне0й
возненавидела,~ v a2 z' ~ n' i1 ~ n a1 * v' i0 d' + i4 + l / a4,возненави0дела
возникала,~ v a2 z' * n' i1 k + a0 + l / a4,возника0ла
возникла,~ v a1 z' * n' i0 k + l / a4,возни0кла
возникли,~ v a1 z' * n' i0 k + l' / i4,возни0кли
возражала,~ v a2 z * r a1 zh + a0 + l / a4,возража0ла
возражали,~ v a2 z * r a1 zh + a0 + l' / i4,возража0ли
возраста,~ v o0 z * r a4 s t / a4,во0зраста
возрасте,~ v o0 z * r a4 s' t' / i4,во0зрасте
возрастов,~ v a2 z * r a1 s t / o0 f,возрасто0в
возрос,~ v a1 z * r o0 s,возро0с
возьмешь,~ v a1 z' * m' / o0 zh,возьме0шь
возятся,* v o0 z' / a4 ^ c a4,во0зятся
вокзал,* v a1 g z a0 l,вокза0л
вокзале,* v a1 g z a0 l' / i4,вокза0ле
вокруг,~ v a1 * k r u0 g,вокру0г
волейбол,* v a2 l' i1 j b o0 l,волейбо0л
волейбольной,* v a2 l' i1 j b o0 l' + n / a4 j,волейбо0льной
волнения,* v a1 l n' + e0 n' i4 - / a4,волне0ния
волновавшее,* v a2 l n + a1 v + a0 + f sh / y4 j i4,волнова0вшее
волновалась,* v a2 l n + a1 v a0 + l / a4 ^ s',волнова0лась
волновались,* v a2 l n + a1 v a0 + l' / i4 ^ s',волнова0лись
волновало,* v a2 l n + a1 v a0 + l / a4,волнова0ло
волновался,* v a2 l n + a1 v a0 + l ^ s' a4,волнова0лся
волноваться,* v a2 l n + a1 v a0 ^ c a4,волнова0ться
волнует,* v a1 l n + u0 / j i4 t,волну0ет
волнуется,* v a1 l n + u0 / j i4 ^ c a4,волну0ется
волнуешься,* v a1 l n + u0 / j i4 sh ^ s' a4,волну0ешься
волнуйся,* v a1 l n + u0 + j ^ s' a4,волну0йся
волнуйтесь,* v a1 l n + u0 + j + t' i4 ^ s',волну0йтесь
волнуюсь,* v a1 l n + u0 / j u4 ^ s',волну0юсь
волнуются,* v a1 l n + u0 / j u4 ^ c a4,волну0ются
волоклись,* v a2 l a1 k + l' / i0 ^ s',волокли0сь
волос,* v a1 l o0 s,воло0с
волосах,* v a2 l a1 s / a0 h,волоса0х
волосы,* v o0 l a4 s / y4,во0лосы
волчьи,* o0 l ch + j / i4 -,во0лчьи
волю,* - o0 l' / u4,во0лю
вон,* v o0 n,во0н
вонь,* v o0 n',во0нь
вонючими,* v a1 n' + u0 ch / i4 m' i4,воню0чими
вообще,~ a1 - * p sc e0 + a1,воо0бще
вообще-то,~ o0 - * p sc i4 + m + t a4,во0обще-то
вопрос,~ v a1 * p r o0 s,вопро0с
вопросе,~ v a1 * p r o0 s' / i4,вопро0се
вопросительно,* v a2 p r a1 s' + i0 + t' i4 l' + n + a4,вопроси0тельно
вопросов,* v a1 p r o0 s / a4 f,вопро0сов
вопросу,* v a1 p r o0 s / u4,вопро0су
вопросы,~ s l' * e0 d a4 v / a4,во0просы
воробей,* v a2 r a1 b' / e0 j,воробе0й
вором,* v o0 r / a4 m,во0ром
воротом,* v o0 r a4 t / a4 m,во0ротом
ворочаться,* v a1 r o0 ch + i4 ^ c a4,воро0чаться
ворчала,* v a1 r ch + a0 + l / a4 -,ворча0ла
ворчать,* v a1 r ch + a0 / t',ворча0ть
восемь,* v o0 s' i4 m',во0семь
восемьдесят,~ v o0 * s' i4 m * d' i4 s' a4 t,во0семьдесят
воскликнул,~ v a1 s * k l' i0 k + n u4 + l,воскли0кнул
воскликнула,~ v a1 s * k l' i0 k + n u4 + l / a4,воскли0кнула
восклицает,~ v a2 s * k l' i1 c + a0 / - i4 t,восклица0ет
восклицать,~ v a2 s * k l' i1 c + a0 / c,восклица0ть
воскресенье,~ v a2 s * k r' i1 s' + e0 n' j / i4,воскресе0нье
воспаление,~ v a2 s * p a1 l' + e0 n' i4 j / i4,воспале0ние
воспитанием,~ v a2 s * p' i1 t + a0 + n' i4 j / i4 m,воспита0нием
воспитательной,~ v a2 s * p' i1 t + a0 + t' i4 l' + n / a4 j,воспита0тельной
воспитывает,~ v a1 s * p' i0 t + y4 v a4 / j i4 t,воспи0тывает
воспринимает,~ v a2 s ~ p r' i1 * n' i1 m + a0 / j i4 d,воспринима0ет
восстановлений,~ v a2 * s t a2 + n + a1 v + l' + e0 n' i4 j,восстановле0ний
восток,* v a1 s t o0 k,восто0к
восторгался,* v a2 s t a1 r g + a0 + l ^ s' a4,восторга0лся
восторге,* v a1 s t o0 r g' / i4,восто0рге
восторги,~ v a1 s * t o0 r g' / i4,восто0рги
восхитился,~ v a2 s * h' i1 t' + i0 + l ^ s' a4,восхити0лся
восхищались,~ v a2 s * h' i1 sc + a0 + l' / i4 ^ s',восхища0лись
восхищался,~ v a2 s * h' i1 sc + a0 + l ^ s' a4,восхища0лся
восхищаться,~ v a2 s * h' i1 sc + a0 ^ c a4,восхища0ться
восхищаются,~ v a2 s * h' i1 sc + a0 / j u4 ^ c a4,восхища0ются
вот,* v o0 -,во0т
вотчина,* v o0 ch - + i4 n / a4,во0тчина
вошел,~ v a1 * sh + o0 + l,воше0л
вперед,~ - * p' i1 r' o0 t,впере0д
вперемежку,~ f ~ p' i1 r' i1 * m' e0 sh + k + u4,впереме0жку
вперся,~ f * p' o0 r ^ s' a4,впе0рся
впечатление,~ f * p' i1 ch i1 t + l' + e0 n' i4 j / i4,впечатле0ние
вполголоса,~ f * p a1 l * g o0 l a4 s / a4,вполго0лоса
впрочем,~ f * p r o0 ch + i4 m,впро0чем
впрыснуть,~ f * p r y0 s + n u4 / t',впры0снуть
впрямую,~ f * p r' i1 m / u0 j u4,впряму0ю
врал,* v r + a0 + l,вра0л
враль,* v r + a0 + l',вра0ль
врач,* v r a0 ch,вра0ч
врачам,* v r a1 ch / a0 m,врача0м
врачебный,* v r a1 ch + e0 b n / y4 j,враче0бный
врачей,* v r a1 ch / e0 j,враче0й
врачом,* v r a1 ch / o0 m,врачо0м
вредно,* v r' e0 d + n + a4,вре0дно
вредным,* v r' e0 d + n / y4 m,вре0дным
времен,* v r' i1 m' + o0 n,време0н
временем,* v r' e0 m' + i4 n' / i4 m,вре0менем
времени,* v r' e0 m' + i4 n' / i4,вре0мени
временно,* v r' e0 m' + i4 n + a4,вре0менно
время,* v r' e0 m' / a4,вре0мя
вроде,~ v * r o0 d' + i4,вро0де
вряд,* v r' a0 t,вря0д
все,* s' e0 / v,все0
все-таки,* f s' + e0 + t a4 k' i4,все0-таки
всевозможных,* f s' = i1 ~ v a1 z * m o0 zh + n / y4 h,всевозмо0жных
всегдашнее,* f s' + i1 g d a0 + sh n' / i4 j i4,всегда0шнее
всегдашнем,* f s' + i1 g d a0 + sh n' / i4 m,всегда0шнем
всегдашний,* f s' + i1 g d a0 + sh n' / i4 -,всегда0шний
всей,* f s' / e0 j,все0й
всем,* - s' / e0 m,все0м
всеми,* f s' / e0 m' i4,все0ми
всерьез,~ f * s' i1 r' j o0 s,всерье0з
всех,* f s' / e0 h,все0х
вскинул,~ f s * k' i0 + n u4 + l,вски0нул
вскоре,~ f * s k o0 r' + e4,вско0ре
вскочил,~ f * s k a1 ch + i0 + l,вскочи0л
вскочили,~ f * s k a1 ch + i0 + l' / i4,вскочи0ли
вслед,~ f * s l' e0 d,всле0д
вслепую,~ f * s l' i1 p + u0 j u4,вслепу0ю
вслух,~ f * s l u0 h,вслу0х
вспоминал,~ f s ~ p a2 * m' i1 n + a0 + l,вспомина0л
вспоминать,~ f s ~ p a2 * m' i1 n + a0 / t',вспомина0ть
вспомни,~ f s ~ p o0 * m n' + i4,вспо0мни
вспомнил,~ f s ~ p o0 * m n' i4 + l,вспо0мнил
вспомнилась,~ f s ~ p o0 * m n' i4 + l / a4 ^ s',вспо0мнилась
вспомнились,~ f s ~ p o0 * m n' i4 + l' / i4 ^ s,вспо0мнились
вспомнилось,~ f s ~ p o0 * m n' i4 + l / a4 ^ s',вспо0мнилось
вспомнить,~ f s ~ p o0 * m n' + i4 / t',вспо0мнить
вставай,~ f * s t a1 v + a0 + j,встава0й
вставали,~ f * s t a1 v + a0 + l' / i4,встава0ли
вставать,~ f * s t a1 v + a0 / t',встава0ть
вставными,~ f * s t a1 v + n / y0 m' i4,вставны0ми
встал,~ f * s t a0 + l,вста0л
встретил,* f s t r' e0 t' + i4 + l,встре0тил
встретила,* f s t r' e0 t' + i4 + l / a4,встре0тила
встретили,* f s t r' e0 t' + i4 + l' / i4,встре0тили
встретились,* f s t r' e0 t' + i4 + l' / i4 ^ s',встре0тились
встретился,* f s t r' e0 t' + i4 + l ^ s' a4,встре0тился
встречайте,* f s t r' i1 ch + a0 + j + t' i4,встреча0йте
встречал,* f s t r' i1 ch + a0 + l,встреча0л
встречались,* f s t r' i1 ch + a0 + l' / i4 ^ s',встреча0лись
встречать,* f s t r' i1 ch + a0 / t',встреча0ть
встречаться,* f s t r' i1 ch + a0 / c ^ - a4,встреча0ться
встречаю,* f s t r' i1 ch + a0 / j u4,встреча0ю
встрече,* f s t r' e0 ch / i4,встре0че
встречи,* f s t r' e0 ch / i4,встре0чи
встречных,* f s t r' e0 ch + n / y4 h,встре0чных
вступало,~ f * s t u1 p + a0 + l / a4,вступа0ло
вступают,~ f * s t u1 p + a0 / j u4 d,вступа0ют
вступление,~ f * s t u1 p + l' + e0 n' i4 j / i4,вступле0ние
всучить,~ f * s u1 ch + i0 / t',всучи0ть
всякая,* f s' a0 k / a4 j a4,вся0кая
